component,explained_variance_ratio,cumulative_explained_variance
1,0.28753374262142073,0.28753374262142073
2,0.23255769960165065,0.5200914422230714
3,0.15144429087146896,0.6715357330945403
4,0.11236932906035593,0.7839050621548962
5,0.07998302966857807,0.8638880918234743
6,0.05487249755750546,0.9187605893809797
7,0.027483326960216502,0.9462439163411962
8,0.02255799922807756,0.9688019155692738
9,0.015526052955098292,0.9843279685243721
10,0.012093267363619358,0.9964212358879915
11,0.0016555768432809153,0.9980768127312724
12,0.0010465748830464808,0.9991233876143188
13,0.0008766123856809644,0.9999999999999998
14,6.204188905845635e-17,0.9999999999999999
